descriptor_stack,k,system,n_snapshots,median_abs_mismatch_meVatom,mean_abs_mismatch_meVatom,q90_abs_mismatch_meVatom,median_neighbor_target_IQR_meVatom
d1_SLE,10,Ti64,500,3.789532328256656,3.547630037528587,6.184530808524738,0.26159317414355066
d1_SLE,10,alpha-TiAl,500,4.94041008509355,4.3409653335865945,7.51263105790323,0.27721983640605075
d1_SLE,10,beta-TiV,500,4.903976808630951,4.263269346698621,7.407323428475143,0.2568143862433786
d1_SLE,25,Ti64,500,3.7259763871471954,3.555364031259198,6.186672663071491,0.20438861665809938
d1_SLE,25,alpha-TiAl,500,4.929690563662145,4.3161611076950495,7.460863349029518,0.251893123736302
d1_SLE,25,beta-TiV,500,4.903450300922611,4.293383983544519,7.327416357107319,0.25446881443338953
d1_SLE,50,Ti64,500,3.7098671247493,3.5223989344055213,6.1323791815802995,0.22918089395607133
d1_SLE,50,alpha-TiAl,500,4.8947505895601955,4.300686346539471,7.382448208256274,0.3447993420447326
d1_SLE,50,beta-TiV,500,4.883543447006186,4.274258221650711,7.315225824904842,0.3047328899199453
d2_SLE_Voro,10,Ti64,500,3.689136234071057,3.3974528667774937,6.111077715527968,0.16722017218079704
d2_SLE_Voro,10,alpha-TiAl,500,4.900136023439243,4.311465305869146,7.464383981869353,0.263444402710776
d2_SLE_Voro,10,beta-TiV,500,5.0029353299769,4.297477721643957,7.281237264376427,0.3037715955766934
d2_SLE_Voro,25,Ti64,500,3.6636734153063997,3.383189722484918,6.097573354143182,0.23259975087648177
d2_SLE_Voro,25,alpha-TiAl,500,4.926749672074196,4.298647111148752,7.435313472172467,0.29680327495201775
d2_SLE_Voro,25,beta-TiV,500,4.906009761766791,4.286308155410298,7.3265343178273765,0.2549604528354621
d2_SLE_Voro,50,Ti64,500,3.643372993729126,3.3493900604064852,6.075386974197928,0.28288191804913543
d2_SLE_Voro,50,alpha-TiAl,500,4.906835894863848,4.290947769055842,7.338163839944046,0.30138795141661234
d2_SLE_Voro,50,beta-TiV,500,4.889404077791287,4.289026307690053,7.35478848898965,0.2835655822339897
d3_SLE_Voro_q6,10,Ti64,500,1.8750292903533041,2.622647777102926,6.085898142234092,0.14913969141665687
d3_SLE_Voro_q6,10,alpha-TiAl,500,1.8634122311019796,1.4807761572764713,2.782132939741843,0.24345530463627807
d3_SLE_Voro_q6,10,beta-TiV,500,2.3183763489994442,2.0290289259589223,3.303846134184446,0.2397307404276069
d3_SLE_Voro_q6,25,Ti64,500,1.823723427033956,2.5805619355470895,6.06683939086995,0.27121905761878784
d3_SLE_Voro_q6,25,alpha-TiAl,500,1.808235200409486,1.4438379697019736,2.7366550386788773,0.2870113124463086
d3_SLE_Voro_q6,25,beta-TiV,500,2.2460633352415633,2.0336588125146697,3.324546377637866,0.28575326825300285
d3_SLE_Voro_q6,50,Ti64,500,1.755761388057414,2.536538657216628,6.014467410964447,0.3111635198551968
d3_SLE_Voro_q6,50,alpha-TiAl,500,1.6428536237738378,1.4307540235812226,2.7490721774603655,0.292537100328923
d3_SLE_Voro_q6,50,beta-TiV,500,2.2075772211117073,1.991374172445509,3.2302954084531263,0.3072447570238168
