scope,model,T,f_viol,tau,npairs
by_T,Baseline,300,0.0,1.0,30000
by_T,Baseline,400,0.0,1.0,30000
by_T,Baseline,500,0.0,1.0,30000
by_T,Baseline,600,0.0,1.0,30000
by_T,Baseline,700,0.3333333333333333,0.3333333333333333,30000
by_T,PIML,300,0.0,1.0,30000
by_T,PIML,400,0.0,1.0,30000
by_T,PIML,500,0.0,1.0,30000
by_T,PIML,600,0.0,1.0,30000
by_T,PIML,700,0.0005333333333333334,0.9989333333333333,30000
interface_involving,Baseline,all,0.6833333333333333,-0.36666666666666664,600000
interface_involving,PIML,all,3.3333333333333335e-05,0.9999333333333333,600000
overall,Baseline,all,0.6857142857142857,-0.37142857142857144,1050000
overall,PIML,all,1.9047619047619046e-05,0.9999619047619047,1050000
