system,T,group,FANC_state_mean,Fhat_backbone_state_mean,Fhat_monolithic_state_mean,dFres_state_mean,dFres_pred_backbone_state_mean,dFres_pred_monolithic_state_mean
Ti64,300,Ti64__300,-4.79827426,-4.798250796930754,-4.798057626718606,3.877838805274592e-17,2.3463069246370606e-05,0.00021663328139378906
Ti64,400,Ti64__400,-4.83216935,-4.832785142268896,-4.832912813114202,-0.09745694303945789,-0.09807273530835424,-0.09820040615366034
Ti64,500,Ti64__500,-4.87341393,-4.872585949560256,-4.872660828246204,-0.2000154147813889,-0.19918743434164526,-0.19926231302759348
Ti64,600,Ti64__600,-4.92132028,-4.922818894897697,-4.923011016602698,-0.30722175619308145,-0.30872037109077816,-0.3089124927957799
Ti64,700,Ti64__700,-4.97995281,-4.974312735996274,-4.973691114414934,-0.4231654423566531,-0.417525368352927,-0.4169037467715876
alpha-TiAl,300,alpha-TiAl__300,-4.80882399,-4.809578746584081,-4.808910876553643,2.3201926491189795e-17,-0.0007547565840807681,-8.688655364345932e-05
alpha-TiAl,400,alpha-TiAl__400,-4.84201127,-4.841766467214669,-4.84148869539843,-0.09634674948592506,-0.09610194670059444,-0.09582417488435568
alpha-TiAl,500,alpha-TiAl__500,-4.88184236,-4.882103550617432,-4.880874036303123,-0.19756301654892344,-0.19782420716635568,-0.1965946928520455
alpha-TiAl,600,alpha-TiAl__600,-4.92700903,-4.925390560374096,-4.92586921098389,-0.30238431375273933,-0.3007658441268353,-0.3012444947366301
alpha-TiAl,700,alpha-TiAl__700,-4.97663412,-4.979715224477787,-4.9808517080128105,-0.4100727546387865,-0.41315385911657354,-0.4142903426515973
beta-TiV,300,beta-TiV__300,-4.88796052,-4.887588268894285,-4.88775546247224,4.1965129288223935e-17,0.00037225110571561317,0.00020505752776013242
beta-TiV,400,beta-TiV__400,-4.92292887,-4.924074449711527,-4.925210206098561,-0.09375692230164397,-0.09490250201317071,-0.09603825840020529
beta-TiV,500,beta-TiV__500,-4.96463792,-4.964583849920416,-4.964700303943356,-0.19269417985509119,-0.19264010977550683,-0.19275656379844686
beta-TiV,600,beta-TiV__600,-5.01175502,-5.011874538524857,-5.010831048481368,-0.29592387623702,-0.2960433947618774,-0.2949999047183882
beta-TiV,700,beta-TiV__700,-5.06352247,-5.06373176916275,-5.06227552346241,-0.4027448870442333,-0.40295418620698337,-0.4014979405066433
