feature,representation,anchor_temperature_K,production_model,used_by_backbone,used_by_correction,contains_target_or_raw_residual
dT_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,True,False,False
d_SLE_mean_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_SLE_std_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_SLE_q25_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_SLE_q50_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_SLE_q75_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_SLE_iqr_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_Voro_mean_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_Voro_q25_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_Voro_q50_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_Voro_q75_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_Voro_iqr_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_q6_mean_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_q6_std_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_q6_q25_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_q6_q50_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_q6_q75_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_q6_iqr_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_q6knn_mean_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_U_eVatom_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_TSLE_eVatom_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
d_F0_eVatom_anchor,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,backbone_ridge,False,True,False
