system,T,FANC_mean,F0_mean,Fhat_mean,n_snap
Ti64,300,-4.79827426,-4.580704173982351,-4.79827426,100
Ti64,400,-4.83216935,-4.5171423209428925,-4.831900542332126,100
Ti64,500,-4.87341393,-4.455828429200961,-4.872968848595544,100
Ti64,600,-4.92132028,-4.396528437789269,-4.922036752115349,100
Ti64,700,-4.97995281,-4.3392172816256975,-4.97936111911066,100
alpha-TiAl,300,-4.80882399,-4.596235423718174,-4.80882399,100
alpha-TiAl,400,-4.84201127,-4.53307595423225,-4.84171284787796,100
alpha-TiAl,500,-4.88184236,-4.471690777169251,-4.880853425079493,100
alpha-TiAl,600,-4.92700903,-4.412036149965435,-4.926180626625676,100
alpha-TiAl,700,-4.97663412,-4.353972799079388,-4.977519141480841,100
beta-TiV,300,-4.88796052,-4.6809433222363985,-4.88796052,100
beta-TiV,400,-4.92292887,-4.622154749934754,-4.9233037811584355,100
beta-TiV,500,-4.96463792,-4.564926542381308,-4.964671997225975,100
beta-TiV,600,-5.01175502,-4.508813945999378,-5.011455030127204,100
beta-TiV,700,-5.06352247,-4.453760385192165,-5.063363415480642,100
