system,stage,stage_label,n_T,n_snap,MAE_mean_of_partitions,RMSE_mean_of_partitions,R2_mean_of_partitions
Al,backbone_ridge,F0+Cs+g(T)+r(delta_x),5,500,0.0016195936142521642,0.0016675646937253802,
Al,gauge_aligned,F0+Cs,5,500,0.18768955436656928,0.18769472081240335,
Al,minimal_baseline,F0,5,500,0.3969317019812665,0.3969317580529847,
Al,thermal_backbone,F0+Cs+g(T),5,500,0.01364415047674655,0.013650839912810464,
Cu,backbone_ridge,F0+Cs+g(T)+r(delta_x),5,500,0.007195217777385897,0.007209036736318117,
Cu,gauge_aligned,F0+Cs,5,500,0.20540384042081833,0.20540972310374278,
Cu,minimal_baseline,F0,5,500,0.41702852331152085,0.4170285854750923,
Cu,thermal_backbone,F0+Cs+g(T),5,500,0.004109377231775154,0.004120794810824576,
Ti64,backbone_ridge,F0+Cs+g(T)+r(delta_x),5,500,0.0004651222417501284,0.0005391946955431059,
Ti64,gauge_aligned,F0+Cs,5,500,0.20558683524668636,0.20559077650010624,
Ti64,minimal_baseline,F0,5,500,0.42314199729176594,0.42314203308517084,
Ti64,thermal_backbone,F0+Cs+g(T),5,500,0.004292558496992099,0.004300341498668843,
alpha-TiAl,backbone_ridge,F0+Cs+g(T)+r(delta_x),5,500,0.0006490965246497673,0.0007271081916169431,
alpha-TiAl,gauge_aligned,F0+Cs,5,500,0.20129626447275858,0.20130188768094967,
alpha-TiAl,minimal_baseline,F0,5,500,0.4138619331671,0.413862003814936,
alpha-TiAl,thermal_backbone,F0+Cs+g(T),5,500,0.0007660145865469073,0.0008046457940634035,
beta-TiV,backbone_ridge,F0+Cs+g(T)+r(delta_x),5,500,0.00030813511825030025,0.00037714127044932586,
beta-TiV,gauge_aligned,F0+Cs,5,500,0.1970456366488227,0.19705201273678824,
beta-TiV,minimal_baseline,F0,5,500,0.40404117085119895,0.40404122959965083,
beta-TiV,thermal_backbone,F0+Cs+g(T),5,500,0.0042925759548826685,0.004303347172356415,
