system,T,stage,stage_label,n_snap,MAE_F,RMSE_F,R2_F
Al,300,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.0001835906177178437,0.00022825335004822176,
Al,300,gauge_aligned,F0+Cs,100,9.726975202125399e-05,0.00012259580518889508,
Al,300,minimal_baseline,F0,100,0.20926160156510168,0.2092616374764443,
Al,300,thermal_backbone,F0+Cs+g(T),100,9.895211090602541e-05,0.0001248372817608165,
Al,400,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.00026936053107029067,0.0003323462626339445,
Al,400,gauge_aligned,F0+Cs,100,0.09064986747276757,0.09065002772810991,
Al,400,minimal_baseline,F0,100,0.299911469037869,0.29991151747595396,
Al,400,thermal_backbone,F0+Cs+g(T),100,0.005300833326042729,0.005303573156585915,
Al,500,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.000280965485335769,0.00035453419975564165,
Al,500,gauge_aligned,F0+Cs,100,0.18483002145228633,0.18483012404598137,
Al,500,minimal_baseline,F0,100,0.3940916230173878,0.39409167113411453,
Al,500,thermal_backbone,F0+Cs+g(T),100,0.011777329692015925,0.011778939658334037,
Al,600,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.0018917927308881755,0.001931898514448653,
Al,600,gauge_aligned,F0+Cs,100,0.28178621090668904,0.28178633899964434,
Al,600,minimal_baseline,F0,100,0.4910478124717904,0.49104788597753285,
Al,600,thermal_backbone,F0+Cs+g(T),100,0.020160189854469962,0.02016198017660292,
Al,700,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.005472258706248741,0.00549079114174044,
Al,700,gauge_aligned,F0+Cs,100,0.38108440224908224,0.38108451748309224,
Al,700,minimal_baseline,F0,100,0.5903460038141837,0.5903460782008779,
Al,700,thermal_backbone,F0+Cs+g(T),100,0.03088344740029811,0.030884869290768637,
Cu,300,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.0001501947935672021,0.00018690373495663134,
Cu,300,gauge_aligned,F0+Cs,100,0.00011413112793618119,0.00014301414372294732,
Cu,300,minimal_baseline,F0,100,0.21164750911628982,0.2116475574349378,
Cu,300,thermal_backbone,F0+Cs+g(T),100,0.00011411753637227128,0.00014494019722740046,
Cu,400,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.0028522449405664974,0.002865216286674825,
Cu,400,gauge_aligned,F0+Cs,100,0.09793538380968904,0.09793556020514936,
Cu,400,minimal_baseline,F0,100,0.3095828929259788,0.30958294872806447,
Cu,400,thermal_backbone,F0+Cs+g(T),100,0.0019846830108787737,0.0019933683550706943,
Cu,500,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.0069298709293877095,0.006935319858990884,
Cu,500,gauge_aligned,F0+Cs,100,0.20112586168032778,0.20112597579896052,
Cu,500,minimal_baseline,F0,100,0.41277337079661747,0.4127734264014964,
Cu,500,thermal_backbone,F0+Cs+g(T),100,0.004518510536025464,0.004523587281559673,
Cu,600,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.011266747966443424,0.011273732098463971,
Cu,600,gauge_aligned,F0+Cs,100,0.30857958003299724,0.3085796966033451,
Cu,600,minimal_baseline,F0,100,0.520227089149287,0.5202271582945394,
Cu,600,thermal_backbone,F0+Cs+g(T),100,0.0066331792718382805,0.006638599982218607,
Cu,700,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.014777030256964654,0.014784011702504271,
Cu,700,gauge_aligned,F0+Cs,100,0.41926424545314134,0.4192643687675361,
Cu,700,minimal_baseline,F0,100,0.6309117545694312,0.6309118365164237,
Cu,700,thermal_backbone,F0+Cs+g(T),100,0.00729639580376098,0.007303478238046511,
Ti64,300,backbone_ridge,F0+Cs+g(T)+r(delta_x),100,0.00021442330890207196,0.0002611168355303026,
Ti64,300,gauge_aligned,F0+Cs,100,7.461986284890365e-05,9.400857987822345e-05,
Ti64,300,minimal_baseline,F0,100,0.2175700860176496,0.21757010632745605,
Ti64,300,thermal_backbone,F0+Cs+g(T),100,7.553846802912822e-05,9.691351071063494e-05,
