system,method,n_T,MAE_mean,RMSE_mean,R2_mean
Al,enriched_d2,5,0.0031371246450987906,0.0033135894091377016,-427.9338431210623
Al,enriched_d3,5,0.001198400010222042,0.00134926806732505,-45.96094889189428
Al,piml,5,0.0016195936142521627,0.0016675646937253745,-80.1108793471916
Al,response_only,5,0.009316223357042502,0.009324550160315116,-4925.528361754825
Al,temp_only,5,0.012827339337449156,0.012829180225364644,-3721.918621085111
Cu,enriched_d2,5,0.004530558457923583,0.004618798886620814,-473.0253417114169
Cu,enriched_d3,5,0.005339290080660886,0.005383156807945733,-832.6019166709541
Cu,piml,5,0.0071952177773858764,0.007209036736318094,-1032.5017559905536
Cu,response_only,5,0.006825841598114007,0.0068451887465548296,-991.8010940719917
Cu,temp_only,5,0.007813610213376386,0.007831564969937737,-1859.1805283142926
Ti64,enriched_d2,5,0.016688201134694262,0.016741278406326627,-5332.97225835089
Ti64,enriched_d3,5,0.013653733036128279,0.013675051073719907,-3431.3614286665984
Ti64,piml,5,0.00046512224175011656,0.0005391946955430945,-8.905451349265796
Ti64,response_only,5,0.007550865792160966,0.007566030048706779,-3016.0820261858753
Ti64,temp_only,5,0.008746459119945326,0.008755425605663352,-2996.4078634444973
alpha-TiAl,enriched_d2,5,0.004127555796971179,0.004253154772694087,-401.9936955192232
alpha-TiAl,enriched_d3,5,0.00479327668151529,0.004855005828088138,-976.6013697010416
alpha-TiAl,piml,5,0.0006490965246497536,0.0007271081916169354,-8.502753658607721
alpha-TiAl,response_only,5,0.005195181158461878,0.005217986455336538,-544.9114409843104
alpha-TiAl,temp_only,5,0.005604263276864443,0.005619671968257577,-1116.931941684696
beta-TiV,enriched_d2,5,0.0048526325573763586,0.0049679598951357295,-868.9203387284493
beta-TiV,enriched_d3,5,0.005959577116505865,0.005998724955231839,-1672.964888959726
beta-TiV,piml,5,0.0003081351182502807,0.00037714127044931523,-2.617117200532457
beta-TiV,response_only,5,0.005236207625952003,0.005251394006956715,-1066.9972111747436
beta-TiV,temp_only,5,0.006834628595130059,0.006838541926951752,-1427.3193835705665
