system,T,method,n_snap,MAE_dFres,RMSE_dFres,R2_dFres
Al,300,enriched_d2,100,0.03499061652991755,0.035001805885090366,-81512.52665883774
Al,300,enriched_d3,100,0.04725497504861085,0.04727262079402007,-148684.33640688253
Al,300,piml,100,0.0015494393411754034,0.0015555202145674852,-159.99044390725265
Al,300,response_only,100,0.026045694912567443,0.02605074373823164,-45152.251844629835
Al,300,temp_only,100,0.004900522963861292,0.004902056206407855,-1597.8412787590432
Al,400,enriched_d2,100,0.05927936262335223,0.059291827054117834,-120997.39148727414
Al,400,enriched_d3,100,0.020538947885226224,0.02060303582637895,-14609.072333678689
Al,400,piml,100,0.009776636115621483,0.009782096183506648,-3292.4705788569227
Al,400,response_only,100,0.0017322838710277335,0.0018339101513494464,-114.75667394667595
Al,400,temp_only,100,0.0077886506582331184,0.007790515602498249,-2087.9225302691666
Al,500,enriched_d2,100,0.0627061480152875,0.06272602276726517,-103745.20058323535
Al,500,enriched_d3,100,0.053254958365454554,0.05329173451969596,-74884.2716576753
Al,500,piml,100,0.04533217612050827,0.045333420025024725,-54188.315657884785
Al,500,response_only,100,0.08196795706392516,0.0819731651331221,-177181.20690436623
Al,500,temp_only,100,0.015892418037657903,0.015893611165619624,-6659.7305594884465
Al,600,enriched_d2,100,0.017813491888961933,0.017869532686071596,-4422.350087820256
Al,600,enriched_d3,100,0.06486298883802155,0.06489761470904229,-58341.14498180811
Al,600,piml,100,0.021351006721463405,0.021355003479796835,-6316.194022272356
Al,600,response_only,100,0.1305438125034615,0.13054612717852507,-236075.5813942186
Al,600,temp_only,100,0.019837510420263823,0.019839329861351947,-5451.289649028532
Al,700,enriched_d2,100,0.06216324124564096,0.062174272295756616,-44012.865506161106
Al,700,enriched_d3,100,0.022326600662692223,0.022399366081612387,-5711.675372319176
Al,700,piml,100,0.29514339185836463,0.2951461869764269,-991840.884316367
Al,700,response_only,100,0.22377244660329557,0.22377364634944882,-570144.8501724286
Al,700,temp_only,100,0.015717594607229646,0.01572038829094555,-2812.8090878803687
Cu,300,enriched_d2,100,0.16777322624536972,0.1677739242012516,-1376228.760527903
Cu,300,enriched_d3,100,0.12310727901118364,0.1231093530210333,-741009.0831147466
Cu,300,piml,100,0.0277931105879468,0.02779337809614242,-37767.06116074807
Cu,300,response_only,100,0.23088098928939196,0.23088169567261552,-2606278.730097677
Cu,300,temp_only,100,0.008737917789987979,0.008739088073128296,-3732.9994710704873
Cu,400,enriched_d2,100,0.07628618538075332,0.0762899932889508,-168451.6056107965
Cu,400,enriched_d3,100,0.06112961883092441,0.061138412536544715,-108184.95813711605
Cu,400,piml,100,0.016386266597002312,0.016389991408976342,-7773.993443658393
Cu,400,response_only,100,0.17855333903264176,0.17855614984068927,-922766.3193366394
Cu,400,temp_only,100,0.0005031343213114827,0.0005363719703787404,-7.326734717010455
Cu,500,enriched_d2,100,0.008545760386367791,0.008589290870621795,-1606.1633634855984
Cu,500,enriched_d3,100,0.0013296601208430485,0.001628972103122684,-56.80597056120041
Cu,500,piml,100,0.0208672760356836,0.020869833917064397,-9487.190364786979
Cu,500,response_only,100,0.12970222926579048,0.1297089313174006,-366508.44076298265
Cu,500,temp_only,100,0.0004088916527083505,0.0004567864855807443,-3.5453977906540572
Cu,600,enriched_d2,100,0.09611550456432262,0.09612014613564972,-128422.20109091984
Cu,600,enriched_d3,100,0.06309599096807243,0.06311163881564992,-55363.77781749978
Cu,600,piml,100,0.0009458635885443756,0.0011279569251718751,-16.684780593656463
Cu,600,response_only,100,0.060957336183744076,0.060972988624192016,-51675.08591620973
Cu,600,temp_only,100,0.006955858706044552,0.006961028143171357,-672.5369490928472
