split_type,held_out_value,feature_representation,anchor_temperature_K,anchor_alignment_protocol,heldout_descriptor_T0_used_for_alignment,heldout_targets_used_for_fit,known_Cs_used_for_absolute_reconstruction,n_features,feature_columns
leave_one_system_out,alpha-TiAl,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,complete_table_before_split,True,False,True,22,dT_anchor|d_SLE_mean_anchor|d_SLE_std_anchor|d_SLE_q25_anchor|d_SLE_q50_anchor|d_SLE_q75_anchor|d_SLE_iqr_anchor|d_Voro_mean_anchor|d_Voro_q25_anchor|d_Voro_q50_anchor|d_Voro_q75_anchor|d_Voro_iqr_anchor|d_q6_mean_anchor|d_q6_std_anchor|d_q6_q25_anchor|d_q6_q50_anchor|d_q6_q75_anchor|d_q6_iqr_anchor|d_q6knn_mean_anchor|d_U_eVatom_anchor|d_TSLE_eVatom_anchor|d_F0_eVatom_anchor
leave_one_system_out,beta-TiV,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,complete_table_before_split,True,False,True,22,dT_anchor|d_SLE_mean_anchor|d_SLE_std_anchor|d_SLE_q25_anchor|d_SLE_q50_anchor|d_SLE_q75_anchor|d_SLE_iqr_anchor|d_Voro_mean_anchor|d_Voro_q25_anchor|d_Voro_q50_anchor|d_Voro_q75_anchor|d_Voro_iqr_anchor|d_q6_mean_anchor|d_q6_std_anchor|d_q6_q25_anchor|d_q6_q50_anchor|d_q6_q75_anchor|d_q6_iqr_anchor|d_q6knn_mean_anchor|d_U_eVatom_anchor|d_TSLE_eVatom_anchor|d_F0_eVatom_anchor
leave_one_system_out,Ti64,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,complete_table_before_split,True,False,True,22,dT_anchor|d_SLE_mean_anchor|d_SLE_std_anchor|d_SLE_q25_anchor|d_SLE_q50_anchor|d_SLE_q75_anchor|d_SLE_iqr_anchor|d_Voro_mean_anchor|d_Voro_q25_anchor|d_Voro_q50_anchor|d_Voro_q75_anchor|d_Voro_iqr_anchor|d_q6_mean_anchor|d_q6_std_anchor|d_q6_q25_anchor|d_q6_q50_anchor|d_q6_q75_anchor|d_q6_iqr_anchor|d_q6knn_mean_anchor|d_U_eVatom_anchor|d_TSLE_eVatom_anchor|d_F0_eVatom_anchor
bulk_to_interface,Ti64,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,complete_table_before_split,True,False,True,22,dT_anchor|d_SLE_mean_anchor|d_SLE_std_anchor|d_SLE_q25_anchor|d_SLE_q50_anchor|d_SLE_q75_anchor|d_SLE_iqr_anchor|d_Voro_mean_anchor|d_Voro_q25_anchor|d_Voro_q50_anchor|d_Voro_q75_anchor|d_Voro_iqr_anchor|d_q6_mean_anchor|d_q6_std_anchor|d_q6_q25_anchor|d_q6_q50_anchor|d_q6_q75_anchor|d_q6_iqr_anchor|d_q6knn_mean_anchor|d_U_eVatom_anchor|d_TSLE_eVatom_anchor|d_F0_eVatom_anchor
leave_one_temperature_out,300,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,complete_table_before_split,True,False,True,22,dT_anchor|d_SLE_mean_anchor|d_SLE_std_anchor|d_SLE_q25_anchor|d_SLE_q50_anchor|d_SLE_q75_anchor|d_SLE_iqr_anchor|d_Voro_mean_anchor|d_Voro_q25_anchor|d_Voro_q50_anchor|d_Voro_q75_anchor|d_Voro_iqr_anchor|d_q6_mean_anchor|d_q6_std_anchor|d_q6_q25_anchor|d_q6_q50_anchor|d_q6_q75_anchor|d_q6_iqr_anchor|d_q6knn_mean_anchor|d_U_eVatom_anchor|d_TSLE_eVatom_anchor|d_F0_eVatom_anchor
leave_one_temperature_out,400,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,complete_table_before_split,False,False,True,22,dT_anchor|d_SLE_mean_anchor|d_SLE_std_anchor|d_SLE_q25_anchor|d_SLE_q50_anchor|d_SLE_q75_anchor|d_SLE_iqr_anchor|d_Voro_mean_anchor|d_Voro_q25_anchor|d_Voro_q50_anchor|d_Voro_q75_anchor|d_Voro_iqr_anchor|d_q6_mean_anchor|d_q6_std_anchor|d_q6_q25_anchor|d_q6_q50_anchor|d_q6_q75_anchor|d_q6_iqr_anchor|d_q6knn_mean_anchor|d_U_eVatom_anchor|d_TSLE_eVatom_anchor|d_F0_eVatom_anchor
leave_one_temperature_out,500,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,complete_table_before_split,False,False,True,22,dT_anchor|d_SLE_mean_anchor|d_SLE_std_anchor|d_SLE_q25_anchor|d_SLE_q50_anchor|d_SLE_q75_anchor|d_SLE_iqr_anchor|d_Voro_mean_anchor|d_Voro_q25_anchor|d_Voro_q50_anchor|d_Voro_q75_anchor|d_Voro_iqr_anchor|d_q6_mean_anchor|d_q6_std_anchor|d_q6_q25_anchor|d_q6_q50_anchor|d_q6_q75_anchor|d_q6_iqr_anchor|d_q6knn_mean_anchor|d_U_eVatom_anchor|d_TSLE_eVatom_anchor|d_F0_eVatom_anchor
leave_one_temperature_out,600,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,complete_table_before_split,False,False,True,22,dT_anchor|d_SLE_mean_anchor|d_SLE_std_anchor|d_SLE_q25_anchor|d_SLE_q50_anchor|d_SLE_q75_anchor|d_SLE_iqr_anchor|d_Voro_mean_anchor|d_Voro_q25_anchor|d_Voro_q50_anchor|d_Voro_q75_anchor|d_Voro_iqr_anchor|d_q6_mean_anchor|d_q6_std_anchor|d_q6_q25_anchor|d_q6_q50_anchor|d_q6_q75_anchor|d_q6_iqr_anchor|d_q6knn_mean_anchor|d_U_eVatom_anchor|d_TSLE_eVatom_anchor|d_F0_eVatom_anchor
leave_one_temperature_out,700,quadratic_thermal_backbone_plus_T0_relative_correction,300.0,complete_table_before_split,False,False,True,22,dT_anchor|d_SLE_mean_anchor|d_SLE_std_anchor|d_SLE_q25_anchor|d_SLE_q50_anchor|d_SLE_q75_anchor|d_SLE_iqr_anchor|d_Voro_mean_anchor|d_Voro_q25_anchor|d_Voro_q50_anchor|d_Voro_q75_anchor|d_Voro_iqr_anchor|d_q6_mean_anchor|d_q6_std_anchor|d_q6_q25_anchor|d_q6_q50_anchor|d_q6_q75_anchor|d_q6_iqr_anchor|d_q6knn_mean_anchor|d_U_eVatom_anchor|d_TSLE_eVatom_anchor|d_F0_eVatom_anchor
low_to_high_transfer,"600,700",quadratic_thermal_backbone_plus_T0_relative_correction,300.0,complete_table_before_split,False,False,True,22,dT_anchor|d_SLE_mean_anchor|d_SLE_std_anchor|d_SLE_q25_anchor|d_SLE_q50_anchor|d_SLE_q75_anchor|d_SLE_iqr_anchor|d_Voro_mean_anchor|d_Voro_q25_anchor|d_Voro_q50_anchor|d_Voro_q75_anchor|d_Voro_iqr_anchor|d_q6_mean_anchor|d_q6_std_anchor|d_q6_q25_anchor|d_q6_q50_anchor|d_q6_q75_anchor|d_q6_iqr_anchor|d_q6knn_mean_anchor|d_U_eVatom_anchor|d_TSLE_eVatom_anchor|d_F0_eVatom_anchor
