evaluation_protocol,method,T,n_systems,f_viol,tau,n_pairs
Ti_grouped_OOF,response_only_ti_trained,300,3,0.0,1.0,3
Ti_grouped_OOF,response_only_ti_trained,400,3,0.3333333333333333,0.33333333333333337,3
Ti_grouped_OOF,response_only_ti_trained,500,3,0.0,1.0,3
Ti_grouped_OOF,response_only_ti_trained,600,3,0.3333333333333333,0.33333333333333337,3
Ti_grouped_OOF,response_only_ti_trained,700,3,0.3333333333333333,0.33333333333333337,3
Ti_grouped_OOF,temp_only_ti_trained,300,3,0.0,1.0,3
Ti_grouped_OOF,temp_only_ti_trained,400,3,0.0,1.0,3
Ti_grouped_OOF,temp_only_ti_trained,500,3,0.0,1.0,3
Ti_grouped_OOF,temp_only_ti_trained,600,3,0.0,1.0,3
Ti_grouped_OOF,temp_only_ti_trained,700,3,0.3333333333333333,0.33333333333333337,3
external_no_retraining,response_only_ti_trained,300,2,0.0,1.0,1
external_no_retraining,response_only_ti_trained,400,2,0.0,1.0,1
external_no_retraining,response_only_ti_trained,500,2,0.0,1.0,1
external_no_retraining,response_only_ti_trained,600,2,1.0,-1.0,1
external_no_retraining,response_only_ti_trained,700,2,1.0,-1.0,1
external_no_retraining,temp_only_ti_trained,300,2,0.0,1.0,1
external_no_retraining,temp_only_ti_trained,400,2,0.0,1.0,1
external_no_retraining,temp_only_ti_trained,500,2,0.0,1.0,1
external_no_retraining,temp_only_ti_trained,600,2,0.0,1.0,1
external_no_retraining,temp_only_ti_trained,700,2,0.0,1.0,1
