evaluation_protocol,method,system,n_snapshots,MAE_absF,RMSE_absF,R2_absF,MAE_dFres,RMSE_dFres,R2_dFres,f_viol_snapshot_pairs,tau_snapshot_pairs,n_snapshot_pairs
Ti_grouped_OOF,response_only_ti_trained,Ti64,500,0.05976012267857831,0.10409736025704928,-1.6170864143263288,0.05976012267857815,0.10409736025704905,0.5147624503067451,0.4,0.17906459241433806,100000
Ti_grouped_OOF,response_only_ti_trained,alpha-TiAl,500,0.05110390910581957,0.07887763245614092,-0.7479848156833073,0.05110390910581954,0.07887763245614089,0.7047284929212803,0.3584,0.2535554628587027,100000
Ti_grouped_OOF,response_only_ti_trained,beta-TiV,500,0.06257619552411314,0.08670400545257909,-0.9310791557655682,0.0625761955241133,0.08670400545257924,0.6300540255974767,0.36448,0.24266833563991094,100000
Ti_grouped_OOF,temp_only_ti_trained,Ti64,500,0.0041733187707407955,0.005715761788453365,0.9921098207230427,0.004173318770740459,0.005715761788453107,0.9985370711345134,0.0,0.8953229620716903,100000
Ti_grouped_OOF,temp_only_ti_trained,alpha-TiAl,500,0.0006757853564317831,0.00097476792726381,0.9997330484881037,0.0006757853564316576,0.0009747679272636739,0.9999549062586086,0.0,0.8953229620716903,100000
Ti_grouped_OOF,temp_only_ti_trained,beta-TiV,500,0.004411206949573241,0.005417450323062331,0.9924610366968412,0.004411206949573086,0.005417450323062149,0.9985557251152317,0.0,0.8953229620716903,100000
external_no_retraining,response_only_ti_trained,Al,500,0.009080011831439154,0.011293184247652096,0.962453275489996,0.009080011831438955,0.011293184247651874,0.9929854533579664,0.0,0.8953229620716903,100000
external_no_retraining,response_only_ti_trained,Cu,500,0.15232481750755608,0.22775739423750765,-10.97055669257772,0.15232481750755594,0.2277573942375076,-1.3548799322799114,0.7,-0.3581291848286761,100000
external_no_retraining,temp_only_ti_trained,Al,500,0.013662654225217896,0.01749558644885504,0.9098851762079981,0.013662654225218037,0.017495586448855172,0.9831645864485663,0.0,0.8953229620716903,100000
external_no_retraining,temp_only_ti_trained,Cu,500,0.004090539729839639,0.004917487981577639,0.9944197199954289,0.004090539729839589,0.0049174879815775995,0.9989022323909618,0.0,0.8953229620716903,100000
