evaluation_protocol,method,system,T,n_snapshots,MAE_absF,RMSE_absF,R2_absF,MAE_dFres,RMSE_dFres,R2_dFres,FANC_mean,Fpred_mean,state_bias_absF
Ti_grouped_OOF,response_only_ti_trained,Ti64,300,100,8.92070452807836e-05,0.0001099383933522229,,8.9207045280765e-05,0.00010993839335220902,,-4.798274260000001,-4.79827426,8.881784197001252e-16
Ti_grouped_OOF,response_only_ti_trained,Ti64,400,100,0.02868841044285431,0.02869048019882441,,0.02868841044285392,0.028690480198824024,-47149.873305042,-4.832169350000001,-4.803480939557146,0.02868841044285464
Ti_grouped_OOF,response_only_ti_trained,Ti64,500,100,0.041302895618419655,0.041309458539880016,,0.041302895618419294,0.04130945853987966,-55323.352549259,-4.87341393,-4.83211103438158,0.041302895618420266
Ti_grouped_OOF,response_only_ti_trained,Ti64,600,100,0.0014705997078373568,0.001667757607775972,,0.0014705997078376899,0.0016677576077763047,-59.332844719377725,-4.92132028,-4.922739077260015,-0.0014187972600154808
Ti_grouped_OOF,response_only_ti_trained,Ti64,700,100,0.22724950057849946,0.2272639292576886,,0.22724950057849902,0.2272639292576882,-804584.2231956809,-4.9799528099999995,-4.752703309421501,0.22724950057849824
Ti_grouped_OOF,response_only_ti_trained,alpha-TiAl,300,100,0.00013595255718819034,0.00016750185806177793,,0.0001359525571881685,0.00016750185806171984,-0.39184756749073113,-4.8088239900000005,-4.80882399,8.881784197001252e-16
Ti_grouped_OOF,response_only_ti_trained,alpha-TiAl,400,100,0.03974314556795076,0.039744656789874044,,0.03974314556795072,0.03974465678987399,-38772.91413261413,-4.84201127,-4.80226812443205,0.03974314556795022
Ti_grouped_OOF,response_only_ti_trained,alpha-TiAl,500,100,0.030078197399602206,0.030082301506870485,,0.03007819739960218,0.03008230150687046,-18111.79227595974,-4.88184236,-4.851764162600398,0.030078197399602047
Ti_grouped_OOF,response_only_ti_trained,alpha-TiAl,600,100,0.017275207787008667,0.01731099305424216,,0.017275207787008667,0.01731099305424216,-3477.9713168125204,-4.927009030000001,-4.909733822212991,0.017275207787009528
Ti_grouped_OOF,response_only_ti_trained,alpha-TiAl,700,100,0.16828704221734805,0.16829772239914198,,0.16828704221734797,0.16829772239914192,-238526.99902154063,-4.976634119999999,-4.808347077782652,0.16828704221734725
Ti_grouped_OOF,response_only_ti_trained,beta-TiV,300,100,0.00024744450481926526,0.00030254024496897557,,0.00024744450481921544,0.0003025402449689723,-3.6894505543886753,-4.887960519999999,-4.88796052,-8.881784197001252e-16
Ti_grouped_OOF,response_only_ti_trained,beta-TiV,400,100,0.052711237156595814,0.05272208984302485,,0.05271123715659603,0.05272208984302509,-115502.00556957678,-4.922928870000001,-4.870217632843404,0.05271123715659698
Ti_grouped_OOF,response_only_ti_trained,beta-TiV,500,100,0.053334301117701044,0.05333569249640109,,0.05333430111770131,0.053335692496401355,-54079.99417991783,-4.9646379199999995,-4.911303618882299,0.0533343011177001
Ti_grouped_OOF,response_only_ti_trained,beta-TiV,600,100,0.0304249904557196,0.030453071293034414,,0.030424990455719798,0.030453071293034616,-14298.805577552039,-5.011755020000001,-4.981330029544281,0.030424990455720113
